BGGId,Name,Rating_2021,Rating_2025,rating_change
241451,Aeon's End: Legacy,7.23602,7.27706,0.04103999999999974
306735,Under Falling Skies,7.23064,7.25656,0.025920000000000165
108745,Seasons,7.22977,7.1537,-0.07607000000000053
204583,Kingdomino,7.22753,7.17473,-0.052799999999999514
24181,Imperial,7.22638,7.13052,-0.09586000000000006
92828,Dixit: Odyssey,7.22569,7.15137,-0.07432000000000016
269207,The Taverns of Tiefenthal,7.22371,7.27822,0.0545100000000005
271055,Dwellings of Eldervale,7.22255,7.51932,0.29676999999999953
318977,MicroMacro: Crime City,7.22195,7.22172,-0.00022999999999928633
97207,Dungeon Petz,7.21947,7.12291,-0.0965600000000002
144344,Rococo,7.21522,7.167,-0.048220000000000596
255984,Sleeping Gods,7.21479,7.70503,0.49024
22545,Age of Empires III: The Age of Discovery,7.21295,7.11395,-0.0990000000000002
154203,Imperial Settlers,7.21116,7.10597,-0.10518999999999945
760,Battle Line,7.20844,7.17534,-0.03310000000000013
38453,Space Alert,7.206,7.11667,-0.08933000000000035
181279,Fury of Dracula (Third/Fourth Edition),7.20562,7.09879,-0.10682999999999954
286096,Tapestry,7.20104,7.20722,0.006180000000000518
176734,The Manhattan Project: Energy Empire,7.19969,7.1332,-0.06648999999999994
271896,Star Wars: Outer Rim,7.19949,7.36119,0.16169999999999973
232405,Western Legends,7.19825,7.22165,0.02340000000000053
66589,Navegador,7.19796,7.13168,-0.0662799999999999
222509,Lords of Hellas,7.19627,7.03198,-0.16429000000000027
193037,Dead of Winter: The Long Night,7.1949,7.07517,-0.11972999999999967
224783,Vindication,7.19452,7.2156,0.02108000000000043
279537,The Search for Planet X,7.1915,7.5549,0.3634000000000004
93260,Summoner Wars: Master Set,7.19143,7.09504,-0.09639000000000042
19777,Indonesia,7.19087,7.13692,-0.05395000000000039
59294,Runewars,7.18984,7.08843,-0.10141000000000044
295947,Cascadia,7.18979,7.74515,0.5553599999999994
2655,Hive,7.18963,7.1699,-0.019730000000000025
203420,Exit: The Game – The Abandoned Cabin,7.18924,7.08678,-0.10245999999999977
206718,Ethnos,7.18911,7.1682,-0.02091000000000065
235802,Too Many Bones: Undertow,7.18873,7.39688,0.20815000000000072
48726,Alien Frontiers,7.18728,7.09036,-0.0969199999999999
165722,KLASK,7.18324,7.25987,0.07663000000000064
171908,El Grande Big Box,7.18255,7.11699,-0.06555999999999962
160477,Onitama,7.18054,7.14366,-0.036880000000000024
54138,Imperial 2030,7.17995,7.10092,-0.07902999999999949
13122,Antiquity,7.17958,7.06721,-0.11236999999999941
146439,BattleLore: Second Edition,7.17777,7.05583,-0.1219399999999995
172081,Burgle Bros.,7.17451,7.08274,-0.09176999999999946
293014,Nidavellir,7.1744,7.27005,0.09565000000000001
139976,Cthulhu Wars,7.17404,7.15352,-0.020519999999999428
234,Hannibal: Rome vs. Carthage,7.17209,7.02604,-0.1460499999999998
246784,Cryptid,7.16915,7.16656,-0.0025900000000005363
187617,Nemo's War (Second Edition),7.16838,7.09899,-0.06939000000000028
209685,Century: Spice Road,7.16831,7.11057,-0.0577399999999999
46213,Telestrations,7.16388,7.14394,-0.01994000000000007
231733,Obsession,7.16023,7.70965,0.5494199999999996
140068,Galaxy Trucker: Anniversary Edition,7.15981,6.97729,-0.18252000000000024
274637,"Unmatched: Battle of Legends, Volume One",7.15721,7.2174,0.06018999999999952
40692,Small World,7.15485,7.08935,-0.06550000000000011
227789,Heaven & Ale,7.15436,7.10531,-0.04904999999999937
101721,Mage Wars Arena,7.15388,7.01803,-0.13584999999999958
140934,Arboretum,7.15253,7.06941,-0.0831199999999992
172818,Above and Below,7.15246,7.07786,-0.07459999999999933
136888,Bruges,7.15109,7.10597,-0.04511999999999983
54,Tikal,7.1497,7.11178,-0.03791999999999973
45315,Dungeon Lords,7.14953,7.0649,-0.08463000000000065
77130,Sid Meier's Civilization: The Board Game,7.14947,7.07045,-0.07901999999999987
163967,Tiny Epic Galaxies,7.14843,7.10358,-0.04485000000000028
181304,Mysterium,7.14841,7.05546,-0.09295000000000009
143693,Glass Road,7.14831,7.1069,-0.04140999999999995
295486,My City,7.14593,7.25463,0.1086999999999998
59959,Letters from Whitechapel,7.14351,7.06714,-0.07636999999999983
5,Acquire,7.14189,7.12823,-0.013659999999999783
129622,Love Letter,7.14107,7.12375,-0.01731999999999978
25292,Merchants & Marauders,7.14066,7.08032,-0.06033999999999917
324856,The Crew: Mission Deep Sea,7.13714,7.81217,0.6750300000000005
41114,The Resistance,7.13669,7.04905,-0.0876399999999995
21241,Neuroshima Hex! 3.0,7.13648,7.08002,-0.05645999999999951
37046,Ghost Stories,7.13569,7.04958,-0.08611000000000057
2653,Survive: Escape from Atlantis!,7.13531,7.11715,-0.018159999999999954
39856,Dixit,7.13481,7.07232,-0.06248999999999949
223040,Fantasy Realms,7.13471,7.24534,0.11062999999999956
176920,Mission: Red Planet (Second Edition),7.13378,7.0708,-0.06297999999999959
163745,Star Wars: Armada,7.13263,7.0408,-0.09182999999999986
70919,Takenoko,7.13259,7.06155,-0.07103999999999999
